source_line,method,declared_path_with_admin_prefix,route_name_from_source,surface,inventory_kind,review_status
402,GET,/admin/purchases/{purchase},admin.purchases.show,Admin,page candidate,OPEN
403,GET,/admin/purchases/{purchase}/receiving,admin.purchases.receiving,Admin,page candidate,OPEN
410,GET,/admin/inventory,admin.inventory.index,Admin,page candidate,OPEN
411,GET,/admin/inventory/scan,admin.inventory.scan,Admin,page candidate,OPEN
412,GET,/admin/inventory/labels/{product},admin.inventory.labels,Admin,page candidate,OPEN
413,GET,/admin/inventory/adjust,admin.inventory.adjust,Admin,page candidate,OPEN
417,GET,/admin/cost-calculator,admin.cost-calculator.index,Admin,page candidate,OPEN
426,GET,/admin/promotions,admin.promotions.index,Admin,page candidate,OPEN
427,GET,/admin/promotions/create,admin.promotions.create,Admin,page candidate,OPEN
429,GET,/admin/promotions/{promotion}/edit,admin.promotions.edit,Admin,page candidate,OPEN
435,GET,/admin/coupons,admin.coupons.index,Admin,page candidate,OPEN
436,GET,/admin/coupons/create,admin.coupons.create,Admin,page candidate,OPEN
438,GET,/admin/coupons/{coupon}/edit,admin.coupons.edit,Admin,page candidate,OPEN
445,GET,/admin/branding,admin.settings.branding,Admin,page candidate,OPEN
447,GET,/admin/content,admin.settings.content,Admin,page candidate,OPEN
449,GET,/admin/settings/shipping/methods,admin.settings.shipping.methods,Admin,page candidate,OPEN
451,GET,/admin/settings/shipping/zones,admin.settings.shipping.zones,Admin,page candidate,OPEN
456,GET,/admin/settings/shipping/rates,admin.settings.shipping.rates,Admin,page candidate,OPEN
458,GET,/admin/settings/whatsapp,admin.settings.whatsapp,Admin,page candidate,OPEN
459,GET,/admin/settings/notifications,admin.settings.notifications,Admin,page candidate,OPEN
460,GET,/admin/settings/notifications/logs,admin.settings.notifications.logs,Admin,page candidate,OPEN
461,GET,/admin/settings/notifications/templates,admin.settings.notifications.templates,Admin,page candidate,OPEN
462,GET,/admin/settings/notifications/automation,admin.settings.notifications.automation,Admin,page candidate,OPEN
463,GET,/admin/settings/notifications/diagnostics,admin.settings.notifications.diagnostics,Admin,page candidate,OPEN
481,GET,/admin/settings/deploy-center,admin.settings.deploy-center,Admin,page candidate,OPEN
489,GET,/admin/imports,admin.imports.index,Admin,page candidate,OPEN
496,GET,/admin/support/create,admin.support.create,Admin,page candidate,OPEN
498,GET,/admin/support/settings,admin.support.settings,Admin,page candidate,OPEN
507,GET,/admin/support,admin.support.index,Admin,page candidate,OPEN
508,GET,/admin/support/{supportCase},admin.support.show,Admin,page candidate,OPEN
512,GET,/admin/payments,admin.payments.index,Admin,page candidate,OPEN
513,GET,/admin/payments/{payment},admin.payments.show,Admin,page candidate,OPEN
518,GET,/admin/settings/payments,admin.settings.payments,Admin,page candidate,OPEN
522,GET,/admin/deliveries,admin.deliveries.index,Admin,page candidate,OPEN
526,GET,/admin/workforce/time-clock,admin.workforce.time-clock,Admin,page candidate,OPEN
534,GET,/admin/workforce/time-clock/sessions/{employeeAttendanceSession}/correction,admin.workforce.corrections.create,Admin,page candidate,OPEN
538,GET,/admin/workforce/my-schedule,admin.workforce.my-schedule,Admin,page candidate,OPEN
541,GET,/admin/workforce/my-leave,admin.workforce.my-leave,Admin,page candidate,OPEN
547,GET,/admin/workforce/my-payslips,admin.workforce.payroll.my-payslips,Admin,page candidate,OPEN
548,GET,/admin/workforce/my-payslips/{payrollEntry},admin.workforce.payroll.my-payslip,Admin,page candidate,OPEN
552,GET,/admin/workforce/employees,admin.workforce.employees.index,Admin,page candidate,OPEN
553,GET,/admin/workforce/attendance,admin.workforce.attendance.index,Admin,page candidate,OPEN
554,GET,/admin/workforce/schedule,admin.workforce.schedule.index,Admin,page candidate,OPEN
555,GET,/admin/workforce/corrections,admin.workforce.corrections.index,Admin,page candidate,OPEN
556,GET,/admin/workforce/leave,admin.workforce.leave.index,Admin,page candidate,OPEN
557,GET,/admin/workforce/leave-types,admin.workforce.leave-types.index,Admin,page candidate,OPEN
561,GET,/admin/workforce/payroll,admin.workforce.payroll.index,Admin,page candidate,OPEN
562,GET,/admin/workforce/payroll/runs/{payrollRun},admin.workforce.payroll.runs.show,Admin,page candidate,OPEN
563,GET,/admin/workforce/payroll/entries/{payrollEntry},admin.workforce.payroll.entries.show,Admin,page candidate,OPEN
564,GET,/admin/workforce/payroll/compensation,admin.workforce.payroll.compensation.index,Admin,page candidate,OPEN
568,GET,/admin/workforce/employees/create,admin.workforce.employees.create,Admin,page candidate,OPEN
570,GET,/admin/workforce/employees/{employeeProfile}/edit,admin.workforce.employees.edit,Admin,page candidate,OPEN
575,GET,/admin/workforce/schedule/create,admin.workforce.schedule.create,Admin,page candidate,OPEN
577,GET,/admin/workforce/schedule/{employeeWorkShift}/edit,admin.workforce.schedule.edit,Admin,page candidate,OPEN
590,GET,/admin/workforce/leave-adjustment,admin.workforce.leave.adjustment,Admin,page candidate,OPEN
595,GET,/admin/workforce/leave-types/create,admin.workforce.leave-types.create,Admin,page candidate,OPEN
597,GET,/admin/workforce/leave-types/{employeeLeaveType}/edit,admin.workforce.leave-types.edit,Admin,page candidate,OPEN
609,GET,/admin/workforce/payroll/compensation/{employeeProfile}/edit,admin.workforce.payroll.compensation.edit,Admin,page candidate,OPEN
614,GET,/admin/notifications,admin.notifications.index,Admin,page candidate,OPEN
620,GET,/admin/permissions,admin.permissions.index,Admin,page candidate,OPEN
