source_line,method,uri,route_name,surface,inventory_kind,review_status,action,middleware
522,GET|HEAD,admin/deliveries,admin.deliveries.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\DeliveryController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:delivery.view
247,GET|HEAD,admin/growth,admin.growth.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
259,GET|HEAD,admin/growth/campaigns/create,admin.growth.campaigns.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@createCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
261,GET|HEAD,admin/growth/campaigns/{campaign}/edit,admin.growth.campaigns.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@editCampaign,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
248,GET|HEAD,admin/growth/content,admin.growth.content,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@content,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
286,GET|HEAD,admin/growth/experiments/create,admin.growth.experiments.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@createExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
288,GET|HEAD,admin/growth/experiments/{experiment}/edit,admin.growth.experiments.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@editExperiment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
250,GET|HEAD,admin/growth/insights,admin.growth.insights,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@insights,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
249,GET|HEAD,admin/growth/operations,admin.growth.operations,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@operations,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.view
267,GET|HEAD,admin/growth/rules/create,admin.growth.rules.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@createRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
269,GET|HEAD,admin/growth/rules/{rule}/edit,admin.growth.rules.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@editRule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
